jerseyid,orderid,jerseyname,jerseynumber,team,jerseytype,jerseyyear,jerseysize,jerseyprice,quantitysold,datesold
8112,3198,Joe Burrow,9,Cincinnati Bengals,Home,2019,L,139.99,2,2020-10-28
8113,3198,CeeDee Lamb,88,Dallas Cowboys,Home,2025,L,129.99,2,2020-10-28
8114,3198,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2024,XXL,139.99,3,2020-10-28
8115,3199,Jordan Love,10,Green Bay Packers,Alternate,2022,M,119.99,1,2020-08-05
8116,3200,Christian McCaffrey,23,San Francisco 49ers,Alternate,2024,L,149.99,1,2020-09-23
8117,3200,Josh Allen,17,Buffalo Bills,Alternate,2025,XL,129.99,2,2020-09-23
8118,3200,Amon-Ra St. Brown,14,Detroit Lions,Away,2020,XXL,149.99,2,2020-09-23
8119,3201,Jalen Hurts,1,Philadelphia Eagles,Alternate,2019,S,129.99,3,2023-11-01
8120,3202,Amon-Ra St. Brown,14,Detroit Lions,Home,2019,M,139.99,1,2025-05-15
8121,3202,Amon-Ra St. Brown,14,Detroit Lions,Away,2021,M,119.99,1,2025-05-15
8122,3203,Joe Burrow,9,Cincinnati Bengals,Alternate,2022,M,119.99,1,2021-06-05
8123,3203,CeeDee Lamb,88,Dallas Cowboys,Away,2023,XXL,149.99,1,2021-06-05
8124,3203,Patrick Mahomes,15,Kansas City Chiefs,Home,2019,S,139.99,3,2021-06-05
8125,3203,Lamar Jackson,8,Baltimore Ravens,Alternate,2020,L,129.99,3,2021-06-05
8126,3204,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2019,XXL,119.99,2,2022-10-21
8127,3204,Christian McCaffrey,23,San Francisco 49ers,Home,2023,M,119.99,2,2022-10-21
8128,3204,Christian McCaffrey,23,San Francisco 49ers,Home,2021,M,149.99,1,2022-10-21
8129,3204,Josh Allen,17,Buffalo Bills,Alternate,2020,XL,139.99,1,2022-10-21
8130,3205,Jalen Hurts,1,Philadelphia Eagles,Away,2022,XXL,129.99,1,2023-10-06
8131,3205,Josh Allen,17,Buffalo Bills,Alternate,2024,M,129.99,2,2023-10-06
8132,3206,Josh Allen,17,Buffalo Bills,Home,2025,S,119.99,1,2024-08-07
8133,3206,CeeDee Lamb,88,Dallas Cowboys,Away,2023,M,119.99,2,2024-08-07
8134,3206,Amon-Ra St. Brown,14,Detroit Lions,Home,2020,M,129.99,3,2024-08-07
8135,3206,Christian McCaffrey,23,San Francisco 49ers,Alternate,2023,XL,139.99,2,2024-08-07
8136,3207,Christian McCaffrey,23,San Francisco 49ers,Alternate,2024,S,119.99,2,2020-06-05
8137,3207,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2025,M,149.99,3,2020-06-05
8138,3208,Josh Allen,17,Buffalo Bills,Home,2023,L,149.99,1,2023-01-23
8139,3209,Lamar Jackson,8,Baltimore Ravens,Home,2020,XL,139.99,2,2020-08-29
8140,3209,Lamar Jackson,8,Baltimore Ravens,Away,2019,M,129.99,3,2020-08-29
8141,3209,Patrick Mahomes,15,Kansas City Chiefs,Home,2022,XL,139.99,1,2020-08-29
8142,3209,Patrick Mahomes,15,Kansas City Chiefs,Home,2019,M,119.99,2,2020-08-29
8143,3210,DK Metcalf,14,Seattle Seahawks,Alternate,2022,L,119.99,1,2023-11-27
8144,3210,Lamar Jackson,8,Baltimore Ravens,Away,2020,S,139.99,3,2023-11-27
8145,3210,Lamar Jackson,8,Baltimore Ravens,Alternate,2024,M,129.99,3,2023-11-27
8146,3210,Jalen Hurts,1,Philadelphia Eagles,Home,2020,S,149.99,2,2023-11-27
8147,3211,Jordan Love,10,Green Bay Packers,Away,2023,XL,119.99,2,2022-04-23
8148,3211,Lamar Jackson,8,Baltimore Ravens,Alternate,2024,XL,149.99,1,2022-04-23
8149,3211,Jordan Love,10,Green Bay Packers,Away,2024,XXL,139.99,1,2022-04-23
8150,3211,Joe Burrow,9,Cincinnati Bengals,Away,2022,XL,129.99,3,2022-04-23
8151,3212,DK Metcalf,14,Seattle Seahawks,Alternate,2021,XL,149.99,1,2021-03-10
8152,3213,CeeDee Lamb,88,Dallas Cowboys,Home,2024,XXL,139.99,1,2021-01-10
8153,3213,DK Metcalf,14,Seattle Seahawks,Alternate,2022,XL,139.99,2,2021-01-10
8154,3213,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2020,M,149.99,2,2021-01-10
8155,3213,Lamar Jackson,8,Baltimore Ravens,Alternate,2019,XXL,119.99,2,2021-01-10
8156,3214,Jordan Love,10,Green Bay Packers,Away,2019,L,129.99,3,2023-07-18
8157,3214,Josh Allen,17,Buffalo Bills,Alternate,2020,S,119.99,3,2023-07-18
8158,3215,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2025,XXL,129.99,2,2023-03-08
8159,3215,Joe Burrow,9,Cincinnati Bengals,Alternate,2023,M,129.99,1,2023-03-08
8160,3215,Jordan Love,10,Green Bay Packers,Away,2023,M,119.99,3,2023-03-08
8161,3215,Jordan Love,10,Green Bay Packers,Alternate,2019,XL,129.99,3,2023-03-08
8162,3216,Joe Burrow,9,Cincinnati Bengals,Home,2021,L,119.99,1,2025-07-24
8163,3216,Joe Burrow,9,Cincinnati Bengals,Home,2023,S,149.99,1,2025-07-24
8164,3216,DK Metcalf,14,Seattle Seahawks,Alternate,2022,XL,149.99,3,2025-07-24
8165,3216,Christian McCaffrey,23,San Francisco 49ers,Alternate,2023,S,139.99,1,2025-07-24
8166,3217,Christian McCaffrey,23,San Francisco 49ers,Away,2021,XL,129.99,1,2024-05-22
8167,3217,Jalen Hurts,1,Philadelphia Eagles,Home,2022,XXL,119.99,2,2024-05-22
8168,3217,Patrick Mahomes,15,Kansas City Chiefs,Home,2025,XXL,149.99,2,2024-05-22
8169,3218,Jordan Love,10,Green Bay Packers,Away,2021,L,139.99,2,2024-04-06
8170,3218,Jordan Love,10,Green Bay Packers,Alternate,2022,M,149.99,1,2024-04-06
8171,3219,Josh Allen,17,Buffalo Bills,Alternate,2020,XL,139.99,2,2022-06-17
8172,3219,Lamar Jackson,8,Baltimore Ravens,Away,2025,L,119.99,2,2022-06-17
8173,3219,CeeDee Lamb,88,Dallas Cowboys,Away,2020,M,139.99,1,2022-06-17
8174,3219,CeeDee Lamb,88,Dallas Cowboys,Alternate,2020,M,129.99,2,2022-06-17
8175,3220,CeeDee Lamb,88,Dallas Cowboys,Away,2020,L,119.99,3,2021-10-31
8176,3220,Josh Allen,17,Buffalo Bills,Away,2023,S,139.99,3,2021-10-31
8177,3220,Jordan Love,10,Green Bay Packers,Away,2022,XL,149.99,3,2021-10-31
8178,3221,CeeDee Lamb,88,Dallas Cowboys,Away,2021,M,149.99,1,2025-02-04
8179,3221,DK Metcalf,14,Seattle Seahawks,Home,2020,XL,139.99,1,2025-02-04
8180,3222,Jordan Love,10,Green Bay Packers,Away,2024,L,149.99,1,2025-01-20
8181,3222,CeeDee Lamb,88,Dallas Cowboys,Away,2024,XXL,129.99,1,2025-01-20
8182,3223,Jordan Love,10,Green Bay Packers,Away,2021,XXL,149.99,2,2022-06-18
8183,3223,CeeDee Lamb,88,Dallas Cowboys,Alternate,2020,S,119.99,1,2022-06-18
8184,3223,Josh Allen,17,Buffalo Bills,Alternate,2022,S,149.99,1,2022-06-18
8185,3224,Lamar Jackson,8,Baltimore Ravens,Alternate,2022,L,119.99,2,2019-02-25
8186,3224,Christian McCaffrey,23,San Francisco 49ers,Home,2025,L,149.99,1,2019-02-25
8187,3224,Jalen Hurts,1,Philadelphia Eagles,Alternate,2020,L,149.99,1,2019-02-25
8188,3225,Lamar Jackson,8,Baltimore Ravens,Alternate,2019,S,149.99,2,2023-06-29
8189,3225,Lamar Jackson,8,Baltimore Ravens,Alternate,2023,XL,129.99,3,2023-06-29
8190,3225,Josh Allen,17,Buffalo Bills,Home,2019,XXL,129.99,3,2023-06-29
8191,3226,DK Metcalf,14,Seattle Seahawks,Away,2021,L,129.99,2,2021-02-22
8192,3227,Patrick Mahomes,15,Kansas City Chiefs,Away,2019,XXL,129.99,2,2023-12-17
8193,3228,Jordan Love,10,Green Bay Packers,Away,2021,S,119.99,2,2023-11-22
8194,3228,Jalen Hurts,1,Philadelphia Eagles,Away,2024,L,139.99,2,2023-11-22
8195,3228,Patrick Mahomes,15,Kansas City Chiefs,Home,2022,XXL,129.99,3,2023-11-22
8196,3229,CeeDee Lamb,88,Dallas Cowboys,Home,2024,S,139.99,2,2022-06-15
8197,3230,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2024,M,119.99,3,2025-06-01
8198,3230,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2022,XL,149.99,1,2025-06-01
8199,3230,Joe Burrow,9,Cincinnati Bengals,Home,2023,L,119.99,3,2025-06-01
8200,3231,Amon-Ra St. Brown,14,Detroit Lions,Home,2023,XXL,119.99,1,2023-10-02
8201,3231,Amon-Ra St. Brown,14,Detroit Lions,Away,2020,L,129.99,3,2023-10-02
8202,3232,Christian McCaffrey,23,San Francisco 49ers,Away,2021,S,139.99,3,2024-09-02
8203,3232,Jalen Hurts,1,Philadelphia Eagles,Home,2023,S,139.99,3,2024-09-02
8204,3232,Patrick Mahomes,15,Kansas City Chiefs,Home,2022,XL,149.99,1,2024-09-02
8205,3233,Christian McCaffrey,23,San Francisco 49ers,Home,2021,L,139.99,1,2025-02-02
8206,3233,Jalen Hurts,1,Philadelphia Eagles,Home,2021,XXL,149.99,2,2025-02-02
8207,3233,Jordan Love,10,Green Bay Packers,Alternate,2021,M,129.99,1,2025-02-02
8208,3234,CeeDee Lamb,88,Dallas Cowboys,Home,2025,XXL,149.99,1,2025-05-01
8209,3234,Jordan Love,10,Green Bay Packers,Home,2024,L,119.99,1,2025-05-01
8210,3234,Jalen Hurts,1,Philadelphia Eagles,Away,2025,XXL,119.99,3,2025-05-01
8211,3234,Josh Allen,17,Buffalo Bills,Away,2025,XL,129.99,2,2025-05-01
8212,3235,Joe Burrow,9,Cincinnati Bengals,Alternate,2019,S,129.99,1,2023-10-24
8213,3235,Joe Burrow,9,Cincinnati Bengals,Alternate,2024,M,129.99,2,2023-10-24
8214,3235,Lamar Jackson,8,Baltimore Ravens,Away,2020,L,149.99,3,2023-10-24
8215,3236,Jalen Hurts,1,Philadelphia Eagles,Home,2021,XL,129.99,2,2019-10-06
8216,3236,Josh Allen,17,Buffalo Bills,Alternate,2025,XXL,139.99,1,2019-10-06
8217,3237,Amon-Ra St. Brown,14,Detroit Lions,Home,2025,S,129.99,2,2020-04-02
8218,3237,Jalen Hurts,1,Philadelphia Eagles,Away,2021,XL,139.99,2,2020-04-02
8219,3238,Amon-Ra St. Brown,14,Detroit Lions,Away,2025,S,119.99,1,2021-01-02
8220,3238,Lamar Jackson,8,Baltimore Ravens,Home,2023,XXL,149.99,3,2021-01-02
8221,3238,Jalen Hurts,1,Philadelphia Eagles,Home,2022,L,139.99,1,2021-01-02
8222,3239,Jalen Hurts,1,Philadelphia Eagles,Away,2023,M,119.99,2,2024-11-11
8223,3239,Christian McCaffrey,23,San Francisco 49ers,Away,2022,S,129.99,1,2024-11-11
8224,3239,Josh Allen,17,Buffalo Bills,Home,2021,XXL,139.99,2,2024-11-11
8225,3239,Josh Allen,17,Buffalo Bills,Away,2019,L,139.99,2,2024-11-11
8226,3240,Jalen Hurts,1,Philadelphia Eagles,Away,2023,XXL,139.99,1,2019-09-28
8227,3240,Jordan Love,10,Green Bay Packers,Alternate,2025,S,129.99,1,2019-09-28
8228,3240,Patrick Mahomes,15,Kansas City Chiefs,Away,2023,L,129.99,2,2019-09-28
8229,3240,DK Metcalf,14,Seattle Seahawks,Alternate,2021,XXL,119.99,2,2019-09-28
8230,3241,Joe Burrow,9,Cincinnati Bengals,Home,2019,S,119.99,3,2024-03-04
8231,3241,Josh Allen,17,Buffalo Bills,Home,2021,XL,129.99,2,2024-03-04
8232,3241,Amon-Ra St. Brown,14,Detroit Lions,Home,2019,S,139.99,2,2024-03-04
8233,3242,CeeDee Lamb,88,Dallas Cowboys,Away,2020,L,149.99,2,2024-10-04
8234,3242,Patrick Mahomes,15,Kansas City Chiefs,Home,2025,XL,149.99,1,2024-10-04
8235,3242,Christian McCaffrey,23,San Francisco 49ers,Home,2024,L,139.99,2,2024-10-04
8236,3243,Jordan Love,10,Green Bay Packers,Alternate,2025,XXL,119.99,2,2022-04-22
8237,3243,Josh Allen,17,Buffalo Bills,Alternate,2025,XXL,149.99,2,2022-04-22
8238,3243,Lamar Jackson,8,Baltimore Ravens,Away,2020,XXL,139.99,2,2022-04-22
8239,3243,DK Metcalf,14,Seattle Seahawks,Alternate,2023,XXL,119.99,3,2022-04-22
8240,3244,CeeDee Lamb,88,Dallas Cowboys,Away,2019,L,119.99,3,2020-07-27
8241,3244,Jalen Hurts,1,Philadelphia Eagles,Away,2021,S,149.99,1,2020-07-27
8242,3244,Jordan Love,10,Green Bay Packers,Away,2023,L,139.99,1,2020-07-27
8243,3244,Amon-Ra St. Brown,14,Detroit Lions,Home,2024,S,139.99,1,2020-07-27
8244,3245,Christian McCaffrey,23,San Francisco 49ers,Away,2022,L,139.99,3,2023-08-12
8245,3245,CeeDee Lamb,88,Dallas Cowboys,Away,2020,M,129.99,2,2023-08-12
8246,3245,Patrick Mahomes,15,Kansas City Chiefs,Home,2020,L,149.99,2,2023-08-12
8247,3245,Joe Burrow,9,Cincinnati Bengals,Alternate,2024,S,149.99,3,2023-08-12
8248,3246,Amon-Ra St. Brown,14,Detroit Lions,Away,2020,XL,139.99,3,2023-06-17
8249,3246,Joe Burrow,9,Cincinnati Bengals,Alternate,2023,L,129.99,2,2023-06-17
8250,3246,Jalen Hurts,1,Philadelphia Eagles,Home,2019,XL,119.99,3,2023-06-17
8251,3246,Josh Allen,17,Buffalo Bills,Home,2021,M,129.99,1,2023-06-17
8252,3247,Jalen Hurts,1,Philadelphia Eagles,Home,2022,XL,129.99,3,2021-07-26
8253,3248,CeeDee Lamb,88,Dallas Cowboys,Alternate,2024,XXL,129.99,1,2023-11-19
8254,3248,Jalen Hurts,1,Philadelphia Eagles,Home,2023,XL,139.99,1,2023-11-19
8255,3248,Jalen Hurts,1,Philadelphia Eagles,Alternate,2020,M,119.99,2,2023-11-19
8256,3249,Jalen Hurts,1,Philadelphia Eagles,Away,2020,XXL,119.99,1,2021-06-22
8257,3250,Christian McCaffrey,23,San Francisco 49ers,Away,2025,M,119.99,3,2023-09-04
8258,3250,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2024,L,139.99,2,2023-09-04
8259,3250,DK Metcalf,14,Seattle Seahawks,Alternate,2022,M,139.99,3,2023-09-04
8260,3251,Christian McCaffrey,23,San Francisco 49ers,Home,2025,XL,149.99,1,2021-06-29
8261,3251,Jordan Love,10,Green Bay Packers,Alternate,2024,XXL,119.99,1,2021-06-29
8262,3251,DK Metcalf,14,Seattle Seahawks,Home,2022,L,129.99,2,2021-06-29
8263,3252,CeeDee Lamb,88,Dallas Cowboys,Alternate,2024,XL,129.99,1,2020-06-01
8264,3252,Amon-Ra St. Brown,14,Detroit Lions,Away,2023,M,139.99,3,2020-06-01
8265,3252,CeeDee Lamb,88,Dallas Cowboys,Away,2022,M,149.99,1,2020-06-01
8266,3253,Lamar Jackson,8,Baltimore Ravens,Home,2024,L,129.99,3,2021-03-16
8267,3254,DK Metcalf,14,Seattle Seahawks,Alternate,2023,S,129.99,2,2025-10-14
8268,3254,Christian McCaffrey,23,San Francisco 49ers,Away,2020,XL,129.99,2,2025-10-14
8269,3255,Joe Burrow,9,Cincinnati Bengals,Home,2023,XXL,119.99,2,2025-10-31
8270,3255,Amon-Ra St. Brown,14,Detroit Lions,Away,2023,M,129.99,2,2025-10-31
8271,3255,Jordan Love,10,Green Bay Packers,Alternate,2020,L,149.99,1,2025-10-31
8272,3255,Christian McCaffrey,23,San Francisco 49ers,Away,2023,S,149.99,2,2025-10-31
8273,3256,Amon-Ra St. Brown,14,Detroit Lions,Home,2019,S,119.99,3,2025-11-15
8274,3256,Patrick Mahomes,15,Kansas City Chiefs,Home,2020,XXL,119.99,2,2025-11-15
8275,3257,Jalen Hurts,1,Philadelphia Eagles,Home,2022,XL,129.99,1,2021-03-04
8276,3258,Christian McCaffrey,23,San Francisco 49ers,Home,2023,XXL,129.99,3,2024-05-30
8277,3258,Amon-Ra St. Brown,14,Detroit Lions,Away,2019,L,139.99,3,2024-05-30
8278,3258,Christian McCaffrey,23,San Francisco 49ers,Alternate,2020,XXL,149.99,3,2024-05-30
8279,3258,Joe Burrow,9,Cincinnati Bengals,Home,2025,XL,119.99,3,2024-05-30
8280,3259,Joe Burrow,9,Cincinnati Bengals,Away,2020,XXL,149.99,3,2019-10-29
8281,3259,DK Metcalf,14,Seattle Seahawks,Alternate,2025,L,149.99,3,2019-10-29
8282,3259,Jordan Love,10,Green Bay Packers,Home,2022,S,149.99,1,2019-10-29
8283,3260,DK Metcalf,14,Seattle Seahawks,Away,2020,M,119.99,3,2023-12-01
8284,3261,Jordan Love,10,Green Bay Packers,Alternate,2022,XL,149.99,2,2021-05-10
8285,3262,Jordan Love,10,Green Bay Packers,Alternate,2019,S,149.99,2,2019-05-29
8286,3263,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2019,M,139.99,1,2023-04-09
8287,3263,DK Metcalf,14,Seattle Seahawks,Away,2020,L,149.99,1,2023-04-09
8288,3264,Joe Burrow,9,Cincinnati Bengals,Alternate,2019,S,129.99,3,2024-05-25
8289,3264,Jalen Hurts,1,Philadelphia Eagles,Home,2023,XXL,149.99,3,2024-05-25
8290,3264,Christian McCaffrey,23,San Francisco 49ers,Alternate,2025,M,139.99,1,2024-05-25
8291,3264,Joe Burrow,9,Cincinnati Bengals,Alternate,2021,XXL,119.99,2,2024-05-25
8292,3265,CeeDee Lamb,88,Dallas Cowboys,Alternate,2022,S,129.99,2,2020-11-24
8293,3265,Joe Burrow,9,Cincinnati Bengals,Away,2020,L,129.99,2,2020-11-24
8294,3266,Josh Allen,17,Buffalo Bills,Away,2025,L,129.99,3,2019-12-05
8295,3267,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2023,L,119.99,3,2024-07-22
8296,3267,DK Metcalf,14,Seattle Seahawks,Away,2024,L,129.99,1,2024-07-22
8297,3267,CeeDee Lamb,88,Dallas Cowboys,Alternate,2022,S,149.99,2,2024-07-22
8298,3267,Christian McCaffrey,23,San Francisco 49ers,Home,2020,XXL,119.99,1,2024-07-22
8299,3268,DK Metcalf,14,Seattle Seahawks,Home,2020,XL,119.99,2,2019-08-25
8300,3268,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2022,M,119.99,1,2019-08-25
8301,3269,Lamar Jackson,8,Baltimore Ravens,Home,2019,XL,139.99,3,2023-05-09
8302,3269,Christian McCaffrey,23,San Francisco 49ers,Home,2023,XL,149.99,2,2023-05-09
8303,3269,Jordan Love,10,Green Bay Packers,Alternate,2023,XL,149.99,2,2023-05-09
8304,3269,DK Metcalf,14,Seattle Seahawks,Home,2020,S,129.99,2,2023-05-09
8305,3270,Josh Allen,17,Buffalo Bills,Alternate,2023,S,119.99,1,2023-03-16
8306,3270,Christian McCaffrey,23,San Francisco 49ers,Home,2022,XXL,139.99,1,2023-03-16
8307,3270,Joe Burrow,9,Cincinnati Bengals,Home,2024,M,139.99,1,2023-03-16
8308,3271,Josh Allen,17,Buffalo Bills,Away,2023,XXL,129.99,3,2024-05-06
8309,3271,Lamar Jackson,8,Baltimore Ravens,Away,2023,XXL,149.99,3,2024-05-06
8310,3271,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2024,XL,129.99,3,2024-05-06
8311,3271,Josh Allen,17,Buffalo Bills,Home,2023,L,149.99,2,2024-05-06
8312,3272,Amon-Ra St. Brown,14,Detroit Lions,Home,2022,XL,139.99,1,2019-05-21
8313,3272,Josh Allen,17,Buffalo Bills,Away,2021,XXL,119.99,3,2019-05-21
8314,3272,Patrick Mahomes,15,Kansas City Chiefs,Home,2024,M,119.99,3,2019-05-21
8315,3272,Jalen Hurts,1,Philadelphia Eagles,Alternate,2022,XXL,129.99,1,2019-05-21
8316,3273,Jordan Love,10,Green Bay Packers,Home,2024,M,129.99,1,2023-12-03
8317,3273,DK Metcalf,14,Seattle Seahawks,Away,2024,L,129.99,2,2023-12-03
8318,3273,Jalen Hurts,1,Philadelphia Eagles,Alternate,2023,L,129.99,3,2023-12-03
8319,3273,Amon-Ra St. Brown,14,Detroit Lions,Away,2020,M,129.99,1,2023-12-03
8320,3274,Jalen Hurts,1,Philadelphia Eagles,Away,2021,M,149.99,3,2022-12-01
8321,3275,DK Metcalf,14,Seattle Seahawks,Away,2022,M,129.99,1,2021-08-24
8322,3276,Jordan Love,10,Green Bay Packers,Alternate,2021,L,139.99,2,2024-02-02
8323,3276,Christian McCaffrey,23,San Francisco 49ers,Away,2022,XXL,129.99,2,2024-02-02
8324,3277,Amon-Ra St. Brown,14,Detroit Lions,Away,2021,XL,139.99,3,2024-06-07
8325,3277,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2019,M,139.99,2,2024-06-07
8326,3277,Joe Burrow,9,Cincinnati Bengals,Alternate,2022,S,119.99,2,2024-06-07
8327,3278,Joe Burrow,9,Cincinnati Bengals,Home,2019,L,129.99,1,2022-07-21
8328,3279,Joe Burrow,9,Cincinnati Bengals,Home,2023,XXL,149.99,3,2020-12-12
8329,3279,Jalen Hurts,1,Philadelphia Eagles,Away,2024,S,119.99,1,2020-12-12
8330,3280,CeeDee Lamb,88,Dallas Cowboys,Away,2023,XL,129.99,2,2021-11-18
8331,3281,CeeDee Lamb,88,Dallas Cowboys,Alternate,2020,L,119.99,2,2021-01-18
8332,3282,CeeDee Lamb,88,Dallas Cowboys,Away,2024,L,149.99,3,2021-01-04
8333,3282,Joe Burrow,9,Cincinnati Bengals,Alternate,2024,XXL,149.99,1,2021-01-04
8334,3282,Jalen Hurts,1,Philadelphia Eagles,Home,2023,XL,149.99,2,2021-01-04
8335,3283,Joe Burrow,9,Cincinnati Bengals,Away,2020,XL,129.99,1,2021-12-04
8336,3283,Patrick Mahomes,15,Kansas City Chiefs,Home,2022,M,139.99,3,2021-12-04
8337,3283,Josh Allen,17,Buffalo Bills,Home,2022,XXL,119.99,1,2021-12-04
8338,3283,DK Metcalf,14,Seattle Seahawks,Away,2025,L,149.99,2,2021-12-04
8339,3284,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2025,M,129.99,2,2024-06-04
8340,3284,Joe Burrow,9,Cincinnati Bengals,Alternate,2023,M,119.99,3,2024-06-04
8341,3284,DK Metcalf,14,Seattle Seahawks,Away,2024,XL,139.99,2,2024-06-04
8342,3285,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2024,XL,129.99,3,2019-08-18
8343,3285,Lamar Jackson,8,Baltimore Ravens,Home,2024,S,129.99,2,2019-08-18
8344,3285,CeeDee Lamb,88,Dallas Cowboys,Alternate,2023,S,119.99,2,2019-08-18
8345,3285,DK Metcalf,14,Seattle Seahawks,Home,2019,XL,149.99,3,2019-08-18
8346,3286,Patrick Mahomes,15,Kansas City Chiefs,Away,2021,S,149.99,2,2021-12-19
8347,3286,Lamar Jackson,8,Baltimore Ravens,Home,2022,XXL,149.99,2,2021-12-19
8348,3286,CeeDee Lamb,88,Dallas Cowboys,Alternate,2019,S,129.99,1,2021-12-19
8349,3286,Josh Allen,17,Buffalo Bills,Home,2025,XL,139.99,3,2021-12-19
8350,3287,Amon-Ra St. Brown,14,Detroit Lions,Away,2021,M,149.99,2,2024-03-03
8351,3287,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2023,M,149.99,1,2024-03-03
8352,3287,Josh Allen,17,Buffalo Bills,Home,2023,L,139.99,2,2024-03-03
8353,3287,CeeDee Lamb,88,Dallas Cowboys,Away,2019,L,139.99,3,2024-03-03
8354,3288,Joe Burrow,9,Cincinnati Bengals,Alternate,2020,XXL,149.99,1,2021-01-26
8355,3288,Lamar Jackson,8,Baltimore Ravens,Home,2021,S,119.99,1,2021-01-26
8356,3288,CeeDee Lamb,88,Dallas Cowboys,Away,2020,L,129.99,3,2021-01-26
8357,3288,Jordan Love,10,Green Bay Packers,Away,2020,L,119.99,1,2021-01-26
8358,3289,Christian McCaffrey,23,San Francisco 49ers,Alternate,2020,XL,129.99,2,2021-03-03
8359,3289,Patrick Mahomes,15,Kansas City Chiefs,Home,2019,M,119.99,1,2021-03-03
8360,3289,Lamar Jackson,8,Baltimore Ravens,Home,2024,XXL,139.99,3,2021-03-03
8361,3289,Joe Burrow,9,Cincinnati Bengals,Home,2019,S,129.99,2,2021-03-03
8362,3290,Josh Allen,17,Buffalo Bills,Away,2024,M,139.99,2,2025-12-05
8363,3290,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2021,XXL,149.99,3,2025-12-05
8364,3290,Josh Allen,17,Buffalo Bills,Home,2023,XL,119.99,1,2025-12-05
8365,3291,Jordan Love,10,Green Bay Packers,Away,2025,L,129.99,3,2023-09-30
8366,3291,Joe Burrow,9,Cincinnati Bengals,Alternate,2019,M,119.99,2,2023-09-30
8367,3291,Jalen Hurts,1,Philadelphia Eagles,Away,2019,XXL,129.99,2,2023-09-30
8368,3292,Lamar Jackson,8,Baltimore Ravens,Home,2023,XXL,119.99,3,2025-11-07
8369,3293,Patrick Mahomes,15,Kansas City Chiefs,Home,2024,XXL,119.99,2,2021-11-28
8370,3293,DK Metcalf,14,Seattle Seahawks,Away,2019,XXL,119.99,2,2021-11-28
8371,3294,Jalen Hurts,1,Philadelphia Eagles,Alternate,2024,M,149.99,1,2019-06-09
8372,3294,Josh Allen,17,Buffalo Bills,Alternate,2019,M,149.99,1,2019-06-09
8373,3294,Lamar Jackson,8,Baltimore Ravens,Away,2021,M,139.99,2,2019-06-09
8374,3295,Jalen Hurts,1,Philadelphia Eagles,Away,2020,L,129.99,2,2021-07-11
8375,3295,Jalen Hurts,1,Philadelphia Eagles,Alternate,2025,M,149.99,3,2021-07-11
8376,3295,Joe Burrow,9,Cincinnati Bengals,Away,2025,XXL,119.99,2,2021-07-11
8377,3295,Lamar Jackson,8,Baltimore Ravens,Away,2022,S,149.99,2,2021-07-11
8378,3296,Jalen Hurts,1,Philadelphia Eagles,Away,2020,XXL,139.99,3,2025-06-05
8379,3296,Amon-Ra St. Brown,14,Detroit Lions,Away,2022,S,119.99,1,2025-06-05
8380,3297,Jalen Hurts,1,Philadelphia Eagles,Alternate,2021,XXL,119.99,1,2025-01-12
8381,3297,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2020,S,149.99,2,2025-01-12
8382,3297,Lamar Jackson,8,Baltimore Ravens,Home,2025,M,129.99,2,2025-01-12
8383,3297,Amon-Ra St. Brown,14,Detroit Lions,Away,2022,XXL,149.99,1,2025-01-12
8384,3298,Jordan Love,10,Green Bay Packers,Away,2022,L,119.99,2,2024-11-12
8385,3298,DK Metcalf,14,Seattle Seahawks,Away,2021,M,119.99,2,2024-11-12
8386,3298,Joe Burrow,9,Cincinnati Bengals,Home,2019,XL,119.99,1,2024-11-12
8387,3298,Amon-Ra St. Brown,14,Detroit Lions,Home,2024,XL,129.99,3,2024-11-12
8388,3299,Christian McCaffrey,23,San Francisco 49ers,Home,2019,L,129.99,2,2025-11-12
8389,3299,Amon-Ra St. Brown,14,Detroit Lions,Away,2023,XXL,149.99,1,2025-11-12
8390,3299,Patrick Mahomes,15,Kansas City Chiefs,Away,2025,L,129.99,2,2025-11-12
8391,3300,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2025,XXL,119.99,3,2023-11-18
8392,3300,Josh Allen,17,Buffalo Bills,Away,2023,XXL,129.99,2,2023-11-18
8393,3300,Patrick Mahomes,15,Kansas City Chiefs,Home,2022,L,129.99,3,2023-11-18
